item_number,exam_type,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,option_e,option_f
785,Exam B,437,"A company is migrating a large amount of data from on-premises storage to AWS. Windows, Mac, and Linux based Amazon EC2 instances in the same AWS Region will access the data by using SMB and NFS storage protocols. The company will access a portion of the data routinely. The company will access the remaining data infrequently. The company needs to design a solution to host the data. Which solution will meet these requirements with the LEAST operational overhead?",Create an Amazon FSx for OpenZFS file system. Migrate the data to the new volume.,Create an Amazon FSx for ONTAP instance. Create an FSx for ONTAP file system with a root volume that uses the auto tiering policy. Migrate the data to the FSx for ONTAP volume.,Create an Amazon Elastic File System (Amazon EFS) volume that uses EFS Intelligent-Tiering. Use AWS DataSync to migrate the data to the EFS volume.,Create an Amazon S3 bucket that uses S3 Intelligent-Tiering. Migrate the data to the S3 bucket by using an AWS Storage Gateway Amazon S3 File Gateway.,,,
786,Exam B,438,A company's application runs on Amazon EC2 instances that are in multiple Availability Zones. The application needs to ingest real-time data from third- party applications. The company needs a data ingestion solution that places the ingested raw data in an Amazon S3 bucket. Which solution will meet these requirements?,Create an AWS Direct Connect connection to the application for data ingestion. Create Amazon Data Firehose delivery streams to consume direct PUT operations from the application. Specify the S3 bucket as the destination of the delivery streams.,Create Amazon Kinesis data streams for data ingestion. Create Amazon Data Firehose delivery streams to consume the Kinesis data streams. Specify the S3 bucket as the destination of the delivery streams.,Create and configure AWS DataSync agents on the EC2 instances. Configure DataSync tasks to transfer data from the EC2 instances to the S3 bucket.,Create database migration tasks in AWS Database Migration Service (AWS DMS). Specify replication instances of the EC2 instances as the source endpoints. Specify the S3 bucket as the target endpoint. Set the migration type to migrate existing data and replicate ongoing changes.,,,
787,Exam B,439,"A company operates a data lake in Amazon S3 that stores large datasets in multiple formats. The company has an application that retrieves and processes subsets of data from multiple objects in the data lake based on filtering criteria. For each data query, the application currently downloads the entire S3 object and performs transformations. The current process requires a large amount of transformation time. The company wants a solution that will give the application the ability to query and filter directly on S3 objects without downloading the objects. Which solution will meet these requirements?",Use Amazon EMR to process and filter the objects.,Use Amazon API Gateway to create an API to retrieve filtered results from Amazon S3.,Use Amazon ElastiCache (Valkey) to cache the objects.,Use Amazon Athena to query and filter the objects in Amazon S3.,,,
788,Exam B,440,"A solutions architect supports an application that accesses data in an Amazon DynamoDB table. One of the item attributes is expiration Date in the timestamp format. The application uses this attribute to find items, archive them, and remove them from the table based on the timestamp value. The application will be decommissioned soon, and the solutions architect must find another way to implement this functionality. The solutions architect needs a solution that will require the least amount of code to write. Which solution will meet these requirements?",Create two AWS Lambda functions: one to delete the items and one to process the items. Create a DynamoDB stream. Use the Deleteltem API operation to delete the items based on the expiration Date attribute. Use the GetRecords API operation to get the items from the DynamoDB stream and process them.,Enable TTL on the expirationDate attribute in the table. Create a DynamoDB stream. Create an AWS Lambda function to process the deleted items. Create a DynamoDB trigger for the Lambda function.,Create two AWS Lambda functions: one to delete the items and one to process the items. Create an Amazon EventBridge scheduled rule to invoke the Lambda functions. Use the Deleteltem API operation to delete the items based on the expiration Date attribute. Use the GetRecords API operation to get the items from the DynamoDB table and process them.,Enable TTL on the expirationDate attribute in the table. Specify an Amazon Simple Queue Service (Amazon SQS) dead-letter queue as the target to delete the items. Create an AWS Lambda function to process the items.,,,
789,Exam B,441,A company hosts an end-user application on Amazon EC2 instances behind an Application Load Balancer (ALB). The company needs to configure end-to-end encryption between the ALB and the EC2 instances. Which solution will meet this requirement with the LEAST operational effort?,Import a third-party SSL certificate into AWS Certificate Manager (ACM). Install the third-party certificate on the EC2 instances. Associate the ACM imported third-party certificate with the ALB.,Import a third-party certificate bundle into AWS Certificate Manager (ACM). Generate a self-signed certificate on the EC2 instances. Associate the ACM imported third-party certificate with the ALB.,Use Amazon-issued AWS Certificate Manager (ACM) certificates on the EC2 instances and the ALB.,Deploy AWS CloudHSM. Import a third-party certificate into CloudHSM. Configure the EC2 instances and the ALB to use the CloudHSM imported certificate.,,,
790,Exam B,442,A meteorological startup company has a custom web application to sell weather data to its users online. The company uses Amazon DynamoDB to store its data and wants to build a new service that sends an alert to the managers of four internal teams every time a new weather event is recorded. The company does not want this new service to affect the performance of the current application. What should a solutions architect do to meet these requirements with the LEAST amount of operational overhead?,Use DynamoDB transactions to write new event data to the table. Configure the transactions to notify internal teams.,Have the current application publish a message to four Amazon Simple Notification Service (Amazon SNS) topics. Have each team subscribe to one topic.,Add a custom attribute to each record to flag new items. Write a cron job that scans the table every minute for items that are new and notifies an Amazon Simple Queue Service (Amazon SQS) queue to which the teams can subscribe.,Enable Amazon DynamoDB Streams on the table. Use triggers to write to a single Amazon Simple Notification Service (Amazon SNS) topic to which the teams can subscribe.,,,
791,Exam B,443,"A company is building a gaming application that needs to send unique events to multiple leaderboards, player matchmaking systems, and authentication services concurrently. The company requires an AWS based event-driven system that delivers events in order and supports a publish- subscribe model. The gaming application must be the publisher, and the leaderboards, matchmaking systems, and authentication services must be the subscribers. Which solution will meet these requirements?",Amazon EventBridge event buses,Amazon Simple Queue Service (Amazon SQS) FIFO queues,Amazon Simple Notification Service (Amazon SNS) standard topics,Amazon Simple Notification Service (Amazon SNS) FIFO topics,,,
792,Exam B,444,"A company's website handles millions of requests each day, and the number of requests continues to increase. A solutions architect needs to improve the response time of the web application. The solutions architect determines that the application needs to decrease latency when retrieving product details from the Amazon DynamoDB table. Which solution will meet these requirements with the LEAST amount of operational overhead?",Setup a DynamoDB Accelerator (DAX) cluster. Route all read requests through DAX.,"Set up Amazon DynamoDB Streams on the table, and have AWS Lambda read from the table and populate Amazon ElastiCache. Route all read requests through ElastiCache.",Set up Amazon ElastiCache (Memcached) between the DynamoDB table and the web application. Route all read requests through Memcached.,Set up Amazon ElastiCache (Reds OSS) between the DynamoDB table and the web application. Route all read requests through Redis.,,,
793,Exam B,445,A company is running a critical application that uses an Amazon RDS for MySQL database to store data. The RDS DB instance is deployed in Multi-AZ mode. A recent RDS database failover test caused a 40-second outage to the application. A solutions architect needs to design a solution to reduce the outage time to less than 20 seconds. Which combination of steps should the solutions architect take to meet these requirements? (Select THREE.),Use Amazon ElastiCache (Redis OSS) in front of the database.,Create an Amazon Aurora Replica.,Use Amazon ElastiCache (Memcached) in front of the database.,Create an RDS for MySQL read replica.,,Migrate the database to Amazon Aurora MySQL.,Use RDS Proxy in front of the database.
794,Exam B,446,A company is migrating an application from an on-premises data center to a VPC in a new AWS account. The company uses the application internally. The application uses an IP address range of 10.10.0.0/16. The company wants to use an AWS Site-to-Site VPN connection to extend the company network to the VPC. The application will use DNS names to access resources from the company's internal corporate DNS servers. The application must use DNS names in the application. example. com DNS subdomain. Which solution will meet these requirements?,Create an Amazon Route 53 public hosted zone. Configure resource records. Configure the company's local DNS servers to perform a zone transfer for the application. example. com zone from the AWS authoritative name servers.,Create an Amazon Route 53 private hosted zone. Configure resource records. Create a Route 53 Resolver outbound endpoint. Configure the outbound endpoint to forward queries for application. example. com to the IP addresses for the company's local DNS servers.,Create an Amazon Route 53 private hosted zone. Configure resource records. Configure name server (NS) records for application-example. com in the company's local DNS servers to delegate authority for the application subdomain zone to the IP addresses of the internal VPC DNS resolver.,Create an Amazon Route 53 private hosted zone. Configure resource records. Create a Route 53 Resolver inbound endpoint. Forward queries for the application. example. com zone from the company's local DNS servers to the inbound endpoint IP addresses.,,,
795,Exam B,447,A company has an application that runs on an Amazon EC2 instance. The application needs to access an Amazon DynamoDB table. The company must protect the credentials that the application uses to access DynamoDB. The company also must comply with best practices for granting least privilege access to the application. Which solution should a solutions architect implement to allow the application to access the DynamoDB table?,Create an IAM user. Attach the AdministratorAccess policy to the user. Create access keys for the user. Embed the access keys within the application code. Use the access keys to access the DynamoDB table.,Configure an EC2 instance profile with an IAM role. Configure the role with an inline policy that allows access to the DynamoDB table.,Create an IAM user. Attach an inline policy to the user to allow access to the DynamoDB table. Create access keys for the user. Embed the access keys within the application code. Use the access keys to access the DynamoDB table,Configure an EC2 instance profile with an IAM role. Attach the AdministratorAccess policy to the role to allow access to DynamoDB.,,,
796,Exam B,448,"A company needs to process data from multiple users. The company stores the data in a relational database. A solutions architect needs to extract the data, use business rules to transform the data, and store the data in Amazon S3. The solutions architect must ensure that the data is encrypted during processing. Which solution will meet these requirements with the LEAST operational effort?",Use Amazon EMR clusters with encryption settings. Create one cluster for each user. Use AWS KMS keys to encrypt the data at rest and in transit.,Use AWS Glue ETL jobs that use AWS KMS to provide built-in encryption. Configure an AWS Glue job to transform the data. Store the transformed data in a separate S3 bucket for each user. Encrypt each bucket with a KMS key that is specific to each user.,"Use AWS Lambda functions that run in response to database changes. Process data in memory, with encryption enabled. Write the processed data to Amazon S3. Use server-side encryption (SSE).",Use AWS Database Migration Service (AWS DMS) with encryption enabled. Configure one replication task for each user to extract and load data into a separate S3 bucket for each user. Encrypt each bucket with a KMS key that is specific to each user.,,,
797,Exam B,449,"A company is developing a SaaS solution for customers. The solution runs on Amazon EC2 instances that have Amazon Elastic Block Store (Amazon EBS) volumes attached. Within the SaaS application, customers can request how much storage they need. The application needs to allocate the amount of block storage each customer requests. A solutions architect must design an operationally efficient solution that meets the storage scaling requirement. Which solution will meet these requirements MOST cost-effectively?",Migrate the data from the EBS volumes to an Amazon S3 bucket. Use the Amazon S3 Standard storage class.,Invoke an AWS Lambda function to increase the size of EBS volumes based on user input by using EBS Elastic Volumes.,Migrate the data from the EBS volumes to an Amazon Elastic File System (Amazon EFS) file system. Use the EFS Standard storage class. Invoke an AWS Lambda function to increase the EFS volume capacity based on user input.,Migrate the data from the EBS volumes to an Amazon FSx for Windows File Server file system. Invoke an AWS Lambda function to increase the Capacity of the file system based on user input.,,,
798,Exam B,450,"A company's packaged application dynamically creates and returns single-use text files in response to user requests. The company is using Amazon CloudFront for distribution, but wants to further reduce data transfer costs. The company cannot modify the application's source code. What should a solutions architect do to reduce costs?",Enable caching on the CloudFront distribution to store generated files at the edge.,Use Amazon $3 multipart uploads to move the files to Amazon S3 before returning them to users.,Use Lambda@Edge to compress the files as they are sent to users.,Enable Amazon $3 Transfer Acceleration to reduce the response times.,,,
799,Exam B,451,"A company recently migrated its application to a VPC on AWS. An AWS Site-to-Site VPN connection connects the company's on-premises network to the VPC. The application retrieves customer data from another system that resides on premises. The application uses an on-premises DNS server to resolve domain records. After the migration, the application is not able to connect to the customer data because of name resolution errors. Which solution will give the application the ability to resolve the internal domain names?",Create an Amazon Route 53 Resolver outbound endpoint. Configure the outbound endpoint to forward DNS queries against the on-premises domain to the on-premises DNS server.,Set up two AWS Direct Connect connections between the AS environment and the on-premises network. Set up a link aggregation group (LAG) that includes the two connections. Change the VPC resolver address to point to the on-premises DNS server.,Create an Amazon Route 53 public hosted zone for the on-premises domain. Configure the network ACLs to forward DNS requests against the on-premises domain to the Route 53 public hosted zone.,"Launch EC2 instances in the VPC. On the EC2 instances, deploy a custom DNS forwarder that forwards all DNS requests to the on-premises DNS server. Create an Amazon Route 53 private hosted zone that uses the EC2 instances for name servers.",,,
800,Exam B,452,A company is storing data in Amazon S3 buckets. The company needs to retain any objects that contain personally identifiable information (PII) that might need to be reviewed. A solutions architect must develop an automated solution to identify objects that contain the relevant PII. The solution also must apply the necessary controls to prevent the objects from being deleted before the PII is reviewed. Which combination of steps should the solutions architect take to meet these requirements? (Select THREE.),Move the identified objects to the S3 Glacier Deep Archive storage class.,Create an Amazon EventBridge rule that invokes the AWS Lambda function when Amazon Macie detects sensitive data.,Create an AWS Lambda function that applies an S3 Object Lock retention period to the identified objects in governance mode.,Configure multi-factor authentication (MA) delete on the S3 buckets.,,Create an AWS Lambda function that performs an S3 Object Lock legal hold operation on the identified objects.,Create a job in Amazon Macie to scan the S3 buckets for the relevant sensitive data identifiers.
801,Exam B,453,A company has a hybrid environment in which a VPC connects to an on-premises network through an AWS Site-to-Site VPN connection. The VPC contains an application that is hosted on Amazon EC2 instances. The EC2 instances run in private subnets behind an Application Load Balancer (ALB) that is associated with multiple public subnets. The EC2 instances need to securely access an Amazon DynamoDB table. Which solution will meet these requirements?,Use the Site-to-Site VPN connection to route all DynamoDB network traffic through the on-premises network infrastructure to access the EC2 instances.,Use the internet gateway of the VPC to access the DynamoDB table. Use the ALB to route the traffic to the EC2 instances.,Add a NAT gateway in one of the public subnets of the VPC. Configure the security groups of the EC2 instances to access the DynamoDB table through the NAT gateway.,Create a VPC endpoint for DynamoDB. Assign the endpoint to the route table of the private subnets that contain the EC2 instances.,,,
802,Exam B,454,A company has an ecommerce site. The site is designed as a distributed web application that is hosted in multiple AWS accounts that are in one organization in AWS Organizations. The web application is comprised of multiple microservices. All microservices expose their AWS services either through Amazon CloudFront distributions or public Application Load Balancers (ALBs). The company wants to protect public endpoints from malicious attacks. The company also wants to monitor security configurations. Which solution will meet these requirements with the LEAST operational overhead?,Use AWS WAF to protect the public endpoints. Use AWS Firewall Manager from a dedicated security account to manage the rules in AWS WAF. Use Amazon Inspector and AWS Security Hub to monitor the WAF configurations of the ALBs and the CloudFront distributions.,Use AWS WAF to protect the public endpoints. Use AWS Firewall Manager from a dedicated security account to manage rules in AWS WAF. Use AWS Config rules to monitor the Regional and global WAF configurations.,Use AWS WAF to protect the public endpoints. Apply AWS WAF rules in each account. Use AWS Config rules and AWS Security Hub to monitor the WAF configurations of the ALBs and the CloudFront distributions.,Use AWS Shield Advanced to protect the public endpoints. Use AWS Config rules to monitor the Shield Advanced configuration for each account.,,,
803,Exam B,455,A company is deploying a new gaming application on Amazon EC2 instances. The gaming application needs to have access to shared storage. The company requires a high-performance solution to give the application the ability to use an existing custom protocol to access shared storage. The solution must ensure low latency and must be operationally efficient. Which solution will meet these requirements?,Create an Amazon Elastic File System (Amazon EFS) file system. Configure the file system to support Lustre. Connect the EC2 instances that host the application to the file system.,Create an Amazon EC2 Windows instance. Install and configure a Windows file share role on the instance. Connect the EC2 instances that host the application to the file share.,Create an Amazon FSx for Lustre file system. Connect the EC2 instances that host the application to the file system.,Create an Amazon FSx File Gateway. Create a file share that uses the existing custom protocol. Connect the EC2 instances that host the application to the file share.,,,
804,Exam B,456,"A video processing company wants to build a machine learning (ML) model by using 600 TB of compressed data that is stored as thousands of files in the company's on-premises network attached storage system. The company does not have the necessary compute resources on premises for ML experiments and wants to use AWS. The company needs to complete the data transfer to AWS within 3 weeks. The data transfer will be a one-time transfer. The data must be encrypted in transit. The measured upload speed of the company's internet connection is 100 Mbps, and multiple departments share the connection. Which solution will meet these requirements MOST cost-effectively?",Deploy an AWS Storage Gateway file gateway on premises. Configure the file gateway with a destination S3 bucket. Copy the data to the file gateway.,Set up a 10 Gbps AWS Direct Connect connection between the company location and the nearest AWS Region. Transfer the data over a VPN connection into the Region to store the data in Amazon S3.,Order several AWS Snowball Edge Storage Optimized devices by using the AWS Management Console. Configure the devices with a destination S3 bucket. Copy the data to the devices. Ship the devices back to AWS.,Create a VPN connection between the on-premises network attached storage and the nearest AWS Region. Transfer the data over the VPN connection.,,,
805,Exam B,457,A company has three VPCs in a single AWS Region. Each VPC contains 15 Amazon EC2 instances. The VPCs are not connected to one another. The company wants to deploy a new application to all three VPCs. The application requires high-bandwidth connectivity between each VPC. A solutions architect must implement connectivity between the VPCs. Which solution will meet these requirements with the HIGHEST throughput?,Create a transit gateway. Attach each VPC to the transit gateway. Configure static routing in each VPC to route traffic to the transit gateway.,Create a VPC peering connection between the three VPCs. Configure static routing to route traffic between the three VPCs.,Create AWS Site-to-Site VPN connections between each VPC. Enable route propagation for each Site-to-Site VPN connection to route traffic between the VPCs.,Create a transit VPC. Configure a VPN gateway in each VP. Create an AWS Site-to-Site VPN tunnel from each VPC to the transit VPC. Use BGP routing to route traffic between the VPCs and the transit VPC.,,,
806,Exam B,458,A company runs a web application that users access using the name www. example. com. The company manages the domain name example. com using Amazon Route 53. The company created an Amazon CloudFront distribution in front of the application and would like www. example. com to access the application through CloudFront. What is the MOST cost-effective way to achieve this?,Create an ALIAS record in Amazon Route 53 that points to the CloudFront distribution URL.,Create an A record in Amazon Route 53 that points to the public IP address of the web application.,Create a PTR record in Amazon Route 53 that points to the public IP address of the web application.,Create a NAME record in Amazon Route 53 that points to the CloudFront distribution URL.,,,
807,Exam B,459,"A company is planning to deploy a data processing platform on AWS. The data processing platform is based on PostgreSQL. The company stores the data that the platform must process on premises. To comply with regulations, the company must not migrate the data to the cloud. However, the company wants to use AWS managed data analytics solutions. Which solution will meet these requirements?",Create an Amazon RDS for PostgreSQL database in a VPC. Create an interface VPC endpoint to connect the on-premises PostgreSQL database to the RDS for PostgreSQL database.,Create Amazon EC2 instances in an Auto Scaling group on AWS Outposts. Install PostgreSQL data analytics software on the instances.,Create an Amazon EMR cluster ina VPC. Connect the EMR cluster to Amazon RDS for SQL Server with a linked server to connect to the company's data processing platform.,Create an Amazon EMR cluster on AWS Outposts. Connect the EMR cluster to the on-premises PostgreSQL database to perform data processing locally.,,,
808,Exam B,460,A company runs a content management system on an Amazon Elastic Container Service (Amazon ECS) cluster. The system allows visitors to provide feedback about the company's products by uploading documents and photos of the products to an Amazon S3 bucket. The company has a workflow on AWS that processes uploaded documents to perform sentiment analysis of photos and text. The processing workflow calls multiple AWS services. The company needs a solution to automate the processing workflow. The solution must handle any failed uploads. Which solution will meet these requirements with the LEAST effort?,Use $3 Event Notifications to publish events to an Amazon Simple Notification Service (Amazon SNS) topic. Deploy a web application on the Amazon ECS cluster to subscribe to the SNS topic and listen for events to orchestrate the processing workflow.,Use S3 Event Notifications to invoke an Amazon EventBridge rule. Configure the rule to initiate an AWS Step Functions workflow that orchestrates the processing workflow.,Use $3 Event Notifications to publish events to an Amazon Simple Queue Service (Amazon SQS) queue. Create an ECS cluster that scales based on the number of messages in the queue. Configure the cluster to orchestrate the processing workflow.,Use S3 Event Notifications to publish events to an Amazon Simple Queue Service (Amazon SQS) queue. Configure long polling. Deploy an Amazon EC2 instance that runs a script to orchestrate the processing workflow.,,,
809,Exam B,461,A company runs production workloads in its AWS account. Multiple teams create and maintain the workloads. The company needs to be able to detect changes in resource configurations. The company needs to capture changes as configuration items without changing or modifying the existing resources. Which solution will meet these requirements?,Use AWS CloudFormation. Initiate drift detection to capture changes in resource configurations.,Use AWS Config. Start the configuration recorder for AWS resources to detect changes in resource configurations.,Use AWS Audit Manager to capture management events and global service events for resource configurations.,"Use Amazon Detective to detect, analyze, and investigate changes in resource configurations.",,,
810,Exam B,462,A company runs a container application by using Amazon Elastic Kubernetes Service (Amazon EKS). The application includes microservices that manage customers and place orders. The company needs to route incoming requests to the appropriate microservices. Which solution will meet this requirement MOST cost-effectively?,Use an AWS Lambda function to connect the requests to Amazon EKS.,Use the AWS Load Balancer Controller to provision an Application Load Balancer.,Use Amazon API Gateway to connect the requests to Amazon EKS.,Use the AWS Load Balancer Controller to provision a Network Load Balancer.,,,
811,Exam B,463,"A company runs business applications on AWS. The company uses 50 AWS accounts, thousands of VPCs, and three AWS Regions across the United States and Europe. The company has an existing AWS Direct Connect connection that connects an on-premises data center to a single Region. A solutions architect needs to establish network connectivity between the on-premises data center and the remaining two Regions. The solutions architect must also establish connectivity between the VPCs. On-premises users and applications must be able to connect to applications that run in the VPCs. The solutions architect creates a transit gateway in each Region and configures the transit gateways as inter-Region peers. What should the solutions architect do next to meet these requirements?",Create a transit virtual interface (VIF) with a gateway association to a new Direct Connect gateway. Associate each transit gateway with the new Direct Connect gateway.,Create a private virtual interface (VIF) with a gateway type of virtual private gateway. Configure the private VIF to use a virtual private gateway that is associated with one of the VPCs.,Create an AWS Site-to-Site VPN connection that uses a public virtual interface (VIF) for the Direct Connect connection. Attach the Site-to-Site VPN connection to the transit gateways.,Create a private virtual interface (VIF) to a new Direct Connect gateway. Associate the new Direct Connect gateway with a virtual private gateway in each VPC.,,,
812,Exam B,464,"A bank is building an Amazon S3 data lake. The bank wants a single data repository for customer data needs, such as personalized recommendations. The bank needs to use Amazon Data Firehose to ingest customers' personal information, bank accounts, and transactions in near real time from a transactional relational database. All personally identifiable information (PII) that is stored in the S3 bucket must be masked. The bank has enabled versioning for the S3 bucket. Which solution will meet these requirements?",Invoke an AWS Lambda function from Firehose to mask the PII before Firehose delivers the data to the S3 bucket.,Configure server-side encryption (SSE) for the S3 bucket. Invoke an AWS Lambda function from S3 events to mask the PII.,Use Amazon Macie to scan the S3 bucket. Configure Macie to discover PII. Invoke an AWS Lambda function from S3 events to mask the PII.,"Create an AWS Lambda function to read the objects, mask the PII, and store the objects back with same key. Invoke the Lambda function from S3 events.",,,
813,Exam B,465,"A company asks a solutions architect to review the architecture for its messaging application. The application uses TCP and UDP traffic. The company is planning to deploy a new VoIP feature, but its 10 test users in other countries are reporting poor call quality. The VoIP application runs on an Amazon EC2 instance with more than enough resources. The HTTP portion of the company's application behind an Application Load Balancer has no issues. What should the solutions architect recommend for the company to do to address the VoIP performance issues?",Use an Amazon Route 53 geoproximity routing policy.,Use AWS Global Accelerator.,Migrate from Application Load Balancers to Network Load Balancers.,Implement Amazon CloudFront into the architecture.,,,
814,Exam B,466,A solutions architect is creating a website that will be hosted from an Amazon S3 bucket. The website must support secure browser connections. Which combination of actions must the solutions architect take to meet this requirement? (Select TWO.),Configure the Elastic Load Balancing (ELB) load balancer with an SSL/TLS certificate.,Configure the S3 bucket with an SSL/TLS certificate.,Create an Amazon CloudFront distribution. Set the S3 bucket as an origin.,Configure the Amazon CloudFront distribution with an SSL/TLS certificate.,,Create an Elastic Load Balancing (ELB) load balancer. Configure the load balancer to direct traffic to the S3 bucket.,
815,Exam B,467,A company needs an automated solution to back up and restore critical data that is stored in an Amazon S3 bucket. The solution must take a backup of the data on a regular schedule. The backups must be available to a centralized backup AWS account. The solution must also be able to automatically restore the backups to the centralized backup account. The company must comply with regulations that require the company to retain the backups for 1 year. The company cannot alter the backups. Which solution will meet these requirements?,Use AWS Backup to automate the backups. Copy the backups from the local vault to a centralized vault. Set a 1-year retention period. Enable S3 Object Lock.,Use AWS Backup to automate the backups. Copy the backups from the local vault to a centralized vault with a 1-year retention period. Enable AWS Backup Vault Lock for the centralized vault.,Replicate objects from the S3 bucket to a second S3 bucket in the centralized backup account. Configure a lifecycle rule to expire objects after 1 year. Enable S3 Object Lock for the centralized vault.,"Enable versioning for the S3 bucket. Replicate the objects to a second S3 bucket in the centralized backup account. Configure MFA Delete for the second S3 bucket, and apply a lifecycle rule to transition versions to S3 Glacier Deep Archive after 1 year. Enable S3 Object Lock in governance mode for the second S3 bucket.",,,
816,Exam B,468,A company runs an enterprise resource planning (ERP) system on Amazon EC2 instances in a single AWS Region. Users connect to the ERP system by using a public API that is hosted on the EC2 instances. International users report slow API response times from their data centers. A solutions architect needs to improve API response times for the international users. Which solution will meet these requirements MOST cost- effectively?,Use AWS Site-to-Site VPN to establish dedicated VPN tunnels between multiple Regions and user networks. Route traffic to the API through the VPN connections.,Set up an AWS Direct Connect connection that has a public virtual interface (VIF) to connect each user's data center to the EC2 instances. Create a Direct Connect gateway for the ERP system API to route user API requests.,Deploy Amazon API Gateway endpoints in multiple Regions. Use Amazon Route 53 latency-based routing to route requests to the nearest endpoint. Configure a VPC peering connection between the Regions to connect to the ERP system.,Set up AWS Global Accelerator. Configure listeners for the necessary ports. Configure endpoint groups for the appropriate Regions to distribute traffic. Create an endpoint in each group for the API.,,,
817,Exam B,469,A company stores log files in an Amazon S3 bucket. The log files are between 128 KB and 1 MB in size. Log files are added to the S3 bucket frequently. The log files must be available for immediate access for up to 30 days. Which solution will meet these requirements MOST cost-effectively?,Change the default storage class of the S3 bucket to S3 Glacier Flexible Retrieval.,Set up a lifecycle policy for the S3 bucket to transition objects to S3 Standard-Infrequent Access (S3 Standard-lA) after 15 days. Configure the lifecycle policy to transition objects to S3 Glacier Deep Archive after 30 days.,Configure the S3 bucket to use the S3 Intelligent-Tiering storage class.,Set up Amazon DynamoDB to store the log files. Use the Import from S3 feature of DynamoDB to move existing log files from the S3 bucket to DynamoDB.,,,
818,Exam B,470,"A company is migrating an application to the AWS Cloud. The application runs in an on-premises data center and writes thousands of images into a mounted NFS file system each night. After the company migrates the application, the company will host the application on an Amazon EC2 instance with a mounted Amazon Elastic File System (Amazon EFS) file system. The company has established an AWS Direct Connect connection to AWS. Before the migration cutover, a solutions architect must build a process that will replicate the newly created on-premises images to the EFS file system. What is the MOST operationally efficient way to replicate the images?",Deploy an AWS DataSync agent to an on-premises server that has access to the NFS file system. Send data over the Direct Connect connection to an S3 bucket by using a public VIF. Configure an AWS Lambda function to process event notifications from Amazon S3 and copy the images from Amazon S3 to the EFS file system.,Deploy an AWS Storage Gateway file gateway with an NFS mount point. Mount the file gateway file system on the on-premises server. Configure a process to periodically copy the images to the mount point.,Configure a periodic process to run the aws s3 sync command from the on-premises file system to Amazon S3. Configure an AWS Lambda function to process event notifications from Amazon S3 and copy the images from Amazon S3 to the EFS file system.,Deploy an AWS DataSync agent to an on-premises server that has access to the NFS file system. Send data over the Direct Connect connection to an AWS PrivateLink interface VPC endpoint for Amazon EFS by using a private VIF. Configure a DataSync scheduled task to send the images to the EFS file system every 24 hours.,,,
819,Exam B,471,"A company is running a mobile app that has a backend database in Amazon DynamoDB. The app experiences sudden increases and decreases in activity throughout the day. The company's solutions architect notices that DynamoDB read and write requests are being throttled at different times, resulting in a negative customer experience. Which solution will solve the throttling issue without requiring changes to the app?",Use on-demand capacity mode for the DynamoDB table.,Deploy an Amazon ElastiCache cluster in front of the DynamoDB table.,Add a DynamoDB table in a secondary AWS Region. Populate the additional table by using DynamoDB Streams.,Use DynamoDB Accelerator (DAX).,,,
820,Exam B,472,"A company is using an Amazon RDS for MySQL DB instance for a production application. During the company's upcoming scheduled maintenance window, a solutions architect will perform a major version upgrade to the DB instance. The application is critical, so the company wants to minimize the maintenance time and allow for a rollback if a problem occurs. Which solution will meet these requirements?","Enable the automatic upgrade option by using the AWS Management Console. Amazon RDS will apply the upgrade, which will occur during the scheduled maintenance window with no downtime",Create a read replica of the DB instance. Configure a policy to fail over to the read replica if failure occurs during the upgrade. Upgrade the version on the primary DB instance.,Create a new DB instance that has the desired version. Configure AWS Database Migration Service (AVS DMS) to migrate the existing data to the new DB instance. Change the DNS records to point to the new DB instance.,Create a read replica of the DB instance. Upgrade the version on the read replica. Promote the read replica to be the primary DB instance. Direct the application to use the read replica endpoint.,,,
821,Exam B,473,A company runs a media rendering application on premises. The company migrates data for the application to an Amazon S3 bucket to optimize storage costs. The application requires low-latency access to storage. The company needs a storage solution for the application that will maintain the application's performance. Which solution will meet these requirements in the MOST cost-effective way?,Use Mountpoint for Amazon $3 to give the application access to the data in the S3 bucket.,Configure an Amazon S3 File Gateway to provide storage for the application.,Set up an AWS Direct Connect connection to give the application direct access to the data in the S3 bucket.,Copy the data from the S3 bucket to Amazon FSx for Windows. Configure an Amazon FS File Gateway to provide storage for the application.,,,
822,Exam B,474,"A company uses AWS Lambda functions in a private subnet in a VPC to run application logic. The Lambda functions must not have access to the public internet. Additionally, all data communication must remain within the private network. As part of a new requirement, the application logic needs access to an Amazon DynamoDB table. What is the MOST secure way to meet this new requirement?",Use a network ACL to only allow access to the DynamoDB table from the VPC.,Use a security group to only allow access to the DynamoDB table from the VPC.,Provision the DynamoDB table inside the same VPC that contains the Lambda functions.,Create a gateway VPC endpoint for DynamoDB to provide access to the table.,,,
